#,ORF,Gene,chan7,chan8,chan9,chan10,chan11,chan12,Avg,Stdev,inter-channel CV,inter-prep CV,MA,Nagal.,Type
1949,YFR002W,NIC96,"68,3","70,5","69,4","69,6","73,8","74,4",71,"2,51","1,6%","2,6%",972,54, Verified ORF
1950,YFR003C,YPI1,"75,5","82,5","80,4","83,5","80,9","81,9","80,78","2,82","4,5%","6,7%",272,"79,5", Verified ORF
1951,YFR004W,RPN11,238,"239,4","238,9","231,7","215,1","230,4","232,25","9,23","0,3%","1,6%",1.716,"161,5", Verified ORF
1952,YFR005C,SAD1,"58,7","58,2","58,3",57,"61,1","60,9","59,03","1,63","0,5%","5,7%",857,"20,5", Verified ORF
1953,YFR006W,YFR006W,"114,9","119,1","112,8","124,4","116,6","125,1","118,82","5,04","2,8%","4,1%",1.721,17, Uncharacterized ORF
1954,YFR007W,YFR007W,"28,9","27,6","29,5","32,1","27,2","30,9","29,37","1,89","3,4%","5,3%",391,"12,5", Uncharacterized ORF
1955,YFR008W,FAR7,"16,1","15,8",19,"16,2","19,3","16,7","17,18","1,55","10,4%","3,8%",84,6, Verified ORF
1956,YFR009W,GCN20,"133,7",140,"135,9","137,3","148,9","141,2","139,5","5,35","2,3%","2,3%",2.980,"42,5", Verified ORF
1957,YFR009W-A,YFR009W-A,0,0,0,0,0,0,0,0,N/A,N/A,,, Dubious ORF
1958,YFR010W,UBP6,"94,4","97,6",97,"99,6","94,7",99,"97,05","2,15","1,8%","2,7%",1.021,31, Verified ORF
1959,YFR010W-A,YFR010W-A,3,"2,5","2,9","1,9","2,5","2,2","2,5","0,41","9,4%","25,1%",,, Dubious ORF
1960,YFR011C,YFR011C,97,102,"94,5","105,1","95,2","101,7","99,25","4,29","3,9%","5,2%",562,, Uncharacterized ORF
1961,YFR012W,YFR012W,"6,9","6,1","7,4","7,2","7,4","6,5","6,92","0,53","9,6%","4,2%",157,1, Uncharacterized ORF
1962,YFR012W-A,YFR012W-A,"3,6","3,2","2,5","3,7","4,1","3,4","3,42","0,54","18,0%","2,7%",304,1, Uncharacterized ORF
1963,YFR013W,IOC3,"52,6","49,8","51,6","52,3","54,7","53,4","52,4","1,66","2,8%","4,9%",529,"29,5", Verified ORF
1964,YFR014C,CMK1,61,"58,7","56,7","58,4","57,2","59,7","58,62","1,59","3,7%","2,5%",467,"68,5", Verified ORF
1965,YFR015C,GSY1,"71,1","68,2","72,7","67,9","75,5",72,"71,23","2,87","3,2%","2,4%",912,"124,5", Verified ORF
1966,YFR016C,YFR016C,"79,2","74,9","72,7","72,6","78,1","80,4","76,32","3,38","4,4%","8,5%",665,"34,5", Verified ORF
1967,YFR017C,YFR017C,"63,5","63,6","58,2","58,4","61,3","59,1","60,68","2,48","5,0%","7,0%",362,78, Uncharacterized ORF
1968,YFR018C,YFR018C,"44,3","44,2","44,3","44,7","40,5","45,1","43,85","1,68","0,1%","4,0%",1.243,12, Uncharacterized ORF
1969,YFR019W,FAB1,"48,4","47,5","48,6","60,2","56,8","58,2","53,28","5,72","1,2%","11,1%",432,10, Verified ORF
1970,YFR020W,YFR020W,"18,8","20,1","20,5","20,8","23,7","20,6","20,75","1,61","4,5%","17,2%",,13, Dubious ORF
1971,YFR021W,ATG18,"33,2","30,5",28,"30,8","30,6","32,4","30,92","1,8","8,5%","4,1%",409,21, Verified ORF
1972,YFR022W,ROG3,"25,1","26,8",26,"23,5","24,4","26,2","25,33","1,24","3,3%","4,9%",263,11, Verified ORF
1973,YFR023W,PES4,"10,8","8,3","8,3","9,4","7,3","8,3","8,73","1,21","15,8%","9,7%",99,1, Verified ORF
1974,YFR025C,HIS2,"65,2","61,5","60,5","60,3",62,"64,8","62,38","2,13","4,0%","8,9%",767,"51,5", Verified ORF
1975,YFR026C,YFR026C,"6,8","6,5","7,2","6,8","7,3","6,6","6,87","0,32","5,1%","4,9%",186,"5,5", Uncharacterized ORF
1976,YFR027W,ECO1,"14,5","17,7",16,"14,7","14,6",15,"15,42","1,24","10,0%","6,1%",106,3, Verified ORF
1977,YFR028C,CDC14,"55,1","56,9","57,9","54,5","54,8",56,"55,87","1,33","2,5%","1,5%",741,8, Verified ORF
1978,YFR029W,PTR3,"21,4","21,1","22,9",22,"25,2","24,1","22,78","1,61","4,4%","5,1%",250,13, Verified ORF
1979,YFR030W,MET10,"74,1","78,6","78,9","74,5","80,6","77,3","77,33","2,58","3,5%","3,0%",1.120,52, Verified ORF
1980,YFR031C,SMC2,"52,1","52,3","49,3","56,2","53,3","53,8","52,83","2,27","3,3%","8,7%",1.236,"11,5", Verified ORF
1981,YFR032C,YFR032C,"23,4","20,7","22,4","21,7","21,3","22,7","22,03","0,99","6,2%","7,8%",481,1, Uncharacterized ORF
1982,YFR032C-A,RPL29,"285,6","293,7","289,5","271,5","299,5","280,9","286,78","9,86","1,4%","2,7%",4.545,"886,5", Verified ORF
1983,YFR032C-B,YFR032C-B,"558,9","554,9","550,6","607,1","603,6","601,7","579,47","27,2","0,7%","4,1%",38,, Uncharacterized ORF
1984,YFR033C,QCR6,"304,6",311,"313,3","354,1","324,5","347,3","325,8","20,44","1,5%","17,5%",1.941,"98,5", Verified ORF
1985,YFR034C,PHO4,"29,2","24,9","27,2","27,8",25,"28,4","27,08","1,78","7,9%","3,8%",327,"22,5", Verified ORF
1986,YFR034W-A,YFR034W-A,"89,7","96,9","92,7","89,8","92,4","93,5","92,5","2,67","3,9%","6,4%",,, Dubious ORF
1987,YFR035C,YFR035C,"0,5","0,5","0,6","0,6","0,3","0,9","0,57","0,2","10,8%","32,7%",357,, Uncharacterized ORF
1988,YFR036W,CDC26,19,"20,1",20,"20,4","17,3","20,8","19,6","1,28","3,1%","3,6%",124,15, Verified ORF
1989,YFR036W-A,YFR036W-A,"3,2","3,5","3,4","4,4","4,6","5,9","4,17","1,02","4,5%","19,2%",,, Dubious ORF
1990,YFR037C,RSC8,"266,5","261,4","262,7","254,1",246,"249,1","256,63","8,16","1,0%","2,4%",5.911,, Verified ORF
1991,YFR038W,YFR038W,"50,8","58,2","59,1","58,4","57,8","61,7","57,67","3,64","8,1%","9,8%",717,, Uncharacterized ORF
1992,YFR039C,YFR039C,"51,9","45,4","46,4","46,9","43,2",43,"46,13","3,25","7,3%","5,7%",458,, Uncharacterized ORF
1993,YFR040W,SAP155,"88,8","87,8","90,8","93,9","94,3","90,7","91,05","2,63","1,7%","4,9%",587,"76,5", Verified ORF
1994,YFR041C,ERJ5,"41,1","40,6","39,4","43,7","41,6",39,"40,9","1,69","2,2%","3,2%",676,"19,5", Verified ORF
1995,YFR042W,YFR042W,"39,3","37,3","40,2","37,9","38,5","38,4","38,6","1,03","3,8%","6,2%",260,, Uncharacterized ORF
1996,YFR043C,YFR043C,"30,4","26,4","28,4","29,7","32,9","29,6","29,57","2,15","7,0%","1,3%",203,, Uncharacterized ORF
1997,YFR044C,DUG1,"380,1","384,8","386,7","381,4","370,8",384,"381,3","5,66","0,9%","3,8%",4.153,163, Verified ORF
1998,YFR045W,YFR045W,"25,7",26,22,"23,8","25,3","25,3","24,68","1,52","9,1%","7,2%",316,, Uncharacterized ORF
1999,YFR046C,CNN1,"18,3",20,"19,5","18,5","22,2",22,"20,08","1,68","4,5%","0,8%",195,, Verified ORF
2000,YFR047C,BNA6,"75,5","73,1","73,2","76,6","71,9",76,"74,38","1,9","1,8%","3,7%",1.898,78, Verified ORF
2001,YFR048W,RMD8,"46,1",45,"43,1","43,2","44,7","40,5","43,77","1,96","3,4%","3,9%",1.260,"16,5", Verified ORF
2002,YFR049W,YMR31,"105,2","105,1","112,5","115,9","108,1",113,"109,97","4,49","3,9%","5,4%",914,"55,5", Verified ORF
2003,YFR050C,PRE4,"172,7","170,5","169,1","168,1","175,3","160,8","169,42","4,95","1,1%","1,4%",1.366,55, Verified ORF
2004,YFR051C,RET2,156,"158,4",163,"169,4","169,3",163,"163,18","5,49","2,2%","4,1%",1.783,105, Verified ORF
2005,YFR052C-A,YFR052C-A,"27,2","31,7","31,6",37,40,"36,7","34,03","4,68","8,5%","15,4%",,, Dubious ORF
2006,YFR052W,RPN12,"196,6","196,3","204,1","201,6","201,2","209,6","201,57","4,97","2,2%","3,3%",1.274,, Verified ORF
2007,YFR053C,HXK1,"556,7","532,4","549,8","544,8","530,9",551,"544,27","10,49","2,3%","2,1%",5.497,, Verified ORF
2008,YFR054C,YFR054C,"1,1","1,7","0,8","1,4","1,2","1,3","1,25","0,3","38,2%","12,1%",,1, Dubious ORF
2009,YFR055W,YFR055W,"61,6","57,3",57,"59,1",59,"61,2","59,2","1,91","4,4%","7,0%",763,54, Uncharacterized ORF
2010,YFR056C,YFR056C,0,"0,1","0,1","0,1",0,"0,3","0,1","0,11","86,6%","86,6%",,"1,5", Dubious ORF
2011,YFR057W,YFR057W,"0,4","0,1","0,2","0,3","0,2","0,2","0,23","0,1","65,5%","17,3%",8,1, Uncharacterized ORF
2012,YGL001C,ERG26,"104,5","106,1","104,7","105,6","105,4","103,1","104,9","1,06","0,8%","3,7%",939,"68,5", Verified ORF
2013,YGL002W,ERP6,"70,4","72,1","69,8",68,"66,9","69,3","69,42","1,83","1,7%","4,2%",287,"60,5", Verified ORF
2014,YGL003C,CDH1,"47,3","47,5","48,1","48,1","45,5","47,9","47,4","0,99","0,9%","0,8%",763,10, Verified ORF
2015,YGL004C,RPN14,"26,9","26,7","27,3","24,6","28,6","25,8","26,65","1,36","1,1%","4,8%",636,6, Uncharacterized ORF
2016,YGL005C,COG7,"40,6","42,5","39,9","38,7","35,1","42,4","39,87","2,76","3,3%","2,6%",232,"43,5", Verified ORF
2017,YGL006W,PMC1,"72,6","74,2","74,9","70,7","73,8","75,8","73,67","1,81","1,6%","4,8%",974,30, Verified ORF
2018,YGL006W-A,YGL006W-A,"9,9","9,8","10,9","11,2","10,7","10,1","10,43","0,58","6,0%","20,8%",2,1, Uncharacterized ORF
2019,YGL007C-A,YGL007C-A,"12,1",12,"12,7","11,9","12,3","12,1","12,18","0,29","3,1%","8,1%",99,4, Uncharacterized ORF
2020,YGL007W,BRP1,"0,5","0,3","0,4","0,3","0,4","0,3","0,37","0,08","25,0%","66,7%",,1, Dubious ORF
2021,YGL008C,PMA1,"2501,6",2465,"2489,6","2454,6","2470,3","2466,5","2474,6","17,49","0,8%","1,0%",12.085,"1091,5", Verified ORF
2022,YGL009C,LEU1,"118,1","109,9","112,8","109,5","106,5","119,2","112,67","5,06","3,7%","3,8%",1.550,209, Verified ORF
2023,YGL010W,YGL010W,"41,3","39,4","39,3","40,9","39,5","38,5","39,82","1,06","2,8%","2,3%",345,8, Uncharacterized ORF
2024,YGL011C,SCL1,"186,2",192,"186,9","190,7","182,7","186,2","187,45","3,38","1,7%","8,8%",2.755,117, Verified ORF
2025,YGL012W,ERG4,"258,3","249,9","261,2","258,8","262,5","260,3","258,5","4,49","2,3%","2,1%",2.603,188, Verified ORF
2026,YGL013C,PDR1,"50,4","54,2","48,3","52,9","58,3","55,2","53,22","3,55","5,9%","2,5%",810,15, Verified ORF
2027,YGL014C-A,YGL014C-A,0,"0,2","0,1",0,"0,1","0,2","0,1","0,09","100,0%","173,2%",,, Dubious ORF
2028,YGL014W,PUF4,"89,6","90,3","87,7","96,8","103,4","96,9","94,12","5,95","1,5%","4,1%",1.742,36, Verified ORF
2029,YGL015C,YGL015C,"0,7","0,9","1,3","0,8","0,9","0,8","0,9","0,21","31,6%","7,9%",14,16, Uncharacterized ORF
2030,YGL016W,KAP122,"51,9","54,7","54,1","56,8","58,2",55,"55,12","2,19","2,8%","4,8%",370,14, Verified ORF
2031,YGL017W,ATE1,"27,1","29,4","28,2",29,"26,4","29,8","28,32","1,34","4,1%","4,5%",406,"22,5", Verified ORF
2032,YGL018C,JAC1,"23,6","26,2","26,2","25,3","23,8","25,4","25,08","1,14","5,9%","5,6%",141,5, Verified ORF
2033,YGL019W,CKB1,"105,5","107,5",111,"110,2","99,3","110,7","107,37","4,49","2,6%","4,8%",795,20, Verified ORF
2034,YGL020C,GET1,"100,1","104,1","100,2","104,6","107,4","105,3","103,62","2,91","2,2%","3,9%",584,, Verified ORF
2035,YGL021W,ALK1,58,"57,9",57,"60,9","56,5",64,"59,05","2,87","1,0%","6,2%",746,, Verified ORF
2036,YGL022W,STT3,"267,2","269,1","272,7","265,2","266,7","272,8","268,95","3,2","1,0%","7,7%",2.415,64, Verified ORF
2037,YGL023C,PIB2,"55,4","54,1","55,8","55,4","53,6","53,1","54,57","1,11","1,6%","4,8%",594,, Verified ORF
2038,YGL024W,YGL024W,"3,5","3,8","3,8","3,5","3,3",4,"3,65","0,26","4,7%","1,7%",,, Dubious ORF
2039,YGL025C,PGD1,"37,8","38,9","38,9",39,"40,3","38,1","38,83","0,87","1,6%","2,5%",252,16, Verified ORF
2040,YGL026C,TRP5,"394,9","402,2","396,3","409,2","389,9","392,2","397,45","7,11","1,0%","1,8%",5.342,"137,5", Verified ORF
2041,YGL027C,CWH41,"86,1","82,6","80,1","80,9","82,1","83,7","82,58","2,14","3,6%","3,4%",593,33, Verified ORF
2042,YGL028C,SCW11,"233,2","229,3","232,5","230,2","247,5","244,5","236,2","7,78","0,9%","9,4%",1.497,"83,5", Verified ORF
2043,YGL029W,CGR1,"132,4","133,7","136,1","158,5","145,8","154,4","143,48","11,16","1,4%","22,9%",362,46, Verified ORF
2044,YGL031C,RPL24A,"547,4","561,1","552,9","542,4","565,4","536,6","550,97","11,02","1,2%","4,9%",5.415,, Verified ORF
2045,YGL032C,AGA2,"9,9","11,3","9,4","8,5","9,3","9,8","9,7","0,93","9,7%","10,7%",53,"68,5", Verified ORF
2046,YGL034C,YGL034C,"0,6","1,1","1,7","0,8","1,1",1,"1,05","0,37","48,6%","25,0%",,1, Dubious ORF
2047,YGL035C,MIG1,"50,5","53,4","51,8","52,1","55,5","51,7","52,5","1,74","2,8%","4,9%",608,"7,5", Verified ORF
2048,YGL036W,YGL036W,"57,9","54,7","55,3","58,6","56,6","60,7","57,3","2,23","3,0%","1,0%",752,"19,5", Uncharacterized ORF
2049,YGL037C,PNC1,328,"337,1","333,3","327,4","330,8",322,"329,77","5,22","1,4%","5,4%",2.536,"321,5", Verified ORF
2050,YGL038C,OCH1,"57,8","54,4","57,6","59,4","62,4","59,8","58,57","2,68","3,4%","3,9%",1.035,19, Verified ORF
2051,YGL039W,YGL039W,"87,8","88,2","89,5","95,1","90,2","89,6","90,07","2,63","1,0%","4,0%",1.218,"46,5", Verified ORF
2052,YGL040C,HEM2,"121,8","122,6",126,"129,6","121,8","131,5","125,55","4,22","1,8%","3,1%",1.616,"52,5", Verified ORF
2053,YGL041C,YGL041C,"17,1","18,1","19,3","16,2","20,6","18,4","18,28","1,56","6,1%","10,6%",,, Dubious ORF
2054,YGL041C-B,YGL041C-B,"0,5","0,6","0,5","0,3","1,4","0,6","0,65","0,38","10,8%","25,0%",272,"7,5", Uncharacterized ORF
2055,YGL041W-A,YGL041W-A,"55,1",54,"51,6","57,8","53,5","53,4","54,23","2,08","3,3%","2,7%",,, Dubious ORF
2056,YGL042C,YGL042C,"1,1","1,5","1,1","1,8","1,6","1,3","1,4","0,28","18,7%","24,0%",,, Dubious ORF
2057,YGL043W,DST1,"78,6","77,5","79,6","83,5","78,4","83,2","80,13","2,58","1,3%","3,2%",689,, Verified ORF
2058,YGL044C,RNA15,"47,3","44,5","43,4","46,5","42,1","42,2","44,33","2,19","4,5%","3,6%",508,"29,5", Verified ORF
2059,YGL045W,RIM8,"16,5","15,9",16,"16,9","19,6","18,5","17,23","1,49","2,0%","9,2%",367,8, Verified ORF
2060,YGL047W,ALG13,"13,3","14,5","13,4","15,1","14,9",14,"14,2","0,76","4,8%","7,1%",264,39, Verified ORF
2061,YGL048C,RPT6,"236,2","228,2",234,"230,3",222,"234,4","230,85","5,23","1,8%","1,4%",2.972,"168,5", Verified ORF
2062,YGL049C,TIF4632,"68,9","64,6","70,4","67,9",67,"62,8","66,93","2,81","4,4%","2,7%",846,16, Verified ORF
2063,YGL050W,TYW3,"75,6","71,7","78,3","79,5","68,6",77,"75,12","4,18","4,4%","3,8%",880,"11,5", Verified ORF
2064,YGL051W,MST27,"2,7",3,"2,5","2,8","2,9","2,8","2,78","0,17","9,2%","9,1%",146,, Verified ORF
2065,YGL052W,YGL052W,"8,8",8,9,"7,4","8,7","8,2","8,35","0,6","6,2%","9,0%",,, Dubious ORF
2066,YGL053W,PRM8,"38,3","42,4","41,8","44,4","40,2","42,9","41,67","2,15","5,4%","7,9%",815,, Verified ORF
2067,YGL054C,ERV14,253,"242,9","250,4",260,"256,2",260,"253,75","6,54","2,1%","1,8%",2.132,"290,5", Verified ORF
2068,YGL055W,OLE1,721,"718,4","728,2","786,5","775,8","798,8","754,78","36,21","0,7%","7,8%",9.338,143, Verified ORF
2069,YGL056C,SDS23,"84,9","81,7","83,6","84,3","88,2","78,9","83,6","3,13","1,9%","4,6%",1.141,"7,5", Verified ORF
2070,YGL057C,YGL057C,"17,9","16,2","17,3","17,9","15,6","17,4","17,05","0,94","5,0%","7,8%",262,"4,5", Uncharacterized ORF
2071,YGL058W,RAD6,"63,9","63,1","62,4","62,1","65,1","65,4","63,67","1,38","1,2%","6,3%",407,33, Verified ORF
2072,YGL059W,YGL059W,"47,9","47,1","47,6","47,4","45,9","46,7","47,1","0,72","0,9%","0,6%",636,29, Uncharacterized ORF
2073,YGL060W,YBP2,"28,3","27,5","29,8","30,6",31,"33,2","30,07","2,04","4,1%","3,9%",649,20, Verified ORF
2074,YGL061C,DUO1,"37,9","36,2","34,9","38,2","37,7","34,4","36,55","1,63","4,1%","3,3%",347,6, Verified ORF
2075,YGL062W,PYC1,"113,4","119,1","113,3","120,6","115,9","117,7","116,67",3,"2,9%","3,2%",2.329,28, Verified ORF
2076,YGL063C-A,YGL063C-A,"1,1","0,7","1,2","0,9","0,9","0,9","0,95","0,18","26,5%","11,9%",,, Dubious ORF
2077,YGL063W,PUS2,"12,5","13,7","12,5","12,9","13,8","13,4","13,13","0,58","5,4%","9,6%",235,1, Verified ORF
2078,YGL064C,MRH4,"22,2","21,2","22,1","22,5","21,6",22,"21,93","0,46","2,5%","3,9%",388,"16,5", Verified ORF
2079,YGL065C,ALG2,"41,4","40,7","41,4",42,"46,5","41,9","42,32","2,1","1,0%","2,1%",575,"51,5", Verified ORF
2080,YGL066W,SGF73,"41,2","42,7","39,5","40,1","41,7","41,1","41,05","1,14","3,9%","5,6%",611,"22,5", Verified ORF
2081,YGL067W,NPY1,"42,3","39,6","42,8","38,7","45,2","39,6","41,37","2,49","4,1%","4,8%",1.316,32, Verified ORF
2082,YGL068W,MNP1,"182,6","176,9","177,2","179,5","181,4",181,"179,77","2,33","1,8%","1,3%",491,90, Verified ORF
2083,YGL069C,YGL069C,"0,7","0,7","0,7","0,9","1,1","0,3","0,73","0,27","0,0%","15,1%",,, Dubious ORF
2084,YGL070C,RPB9,"64,3","69,5","64,8","70,3","71,7","68,7","68,22","3,01","4,3%","5,4%",388,29, Verified ORF
2085,YGL071W,AFT1,"41,4","36,8","37,2","41,9",42,47,"41,05","3,74","6,6%","5,3%",917,15, Verified ORF
2086,YGL072C,YGL072C,"22,1","18,8","21,1","22,7","20,8","24,8","21,72","2,02","8,2%","4,4%",,, Dubious ORF
2087,YGL073W,HSF1,"46,9","46,5","43,9",42,"42,7","44,3","44,38","1,98","3,6%","5,5%",657,, Verified ORF
2088,YGL074C,YGL074C,0,0,0,"0,1","0,2","0,1","0,07","0,08",N/A,"114,6%",,2, Dubious ORF
2089,YGL075C,MPS2,"2,9","3,5","5,1","5,2","3,7",5,"4,23","0,99","29,7%","28,0%",82,2, Verified ORF
2090,YGL077C,HNM1,"112,6","120,3","119,6","108,4","113,7","117,4","115,33","4,59","3,6%","4,8%",1.375,12, Verified ORF
2091,YGL078C,DBP3,"216,9","215,4","219,5","214,6","206,5","214,9","214,63","4,37","1,0%","8,0%",2.796,"40,5", Verified ORF
2092,YGL079W,YGL079W,"33,8","35,8","37,8","35,9","36,8","40,6","36,78","2,29","5,6%","4,3%",248,"19,5", Uncharacterized ORF
2093,YGL080W,YGL080W,"124,2","119,6","116,9","126,4",121,"120,5","121,43","3,39","3,1%","4,4%",684,35, Uncharacterized ORF
2094,YGL081W,YGL081W,"12,7","10,8","10,6","11,3","12,9","11,1","11,57","0,99","10,2%","7,1%",181,3, Uncharacterized ORF
2095,YGL082W,YGL082W,"57,2","56,7","52,9","60,6",55,"58,7","56,85","2,71","4,2%","9,5%",900,38, Uncharacterized ORF
2096,YGL083W,SCY1,"29,8","30,2","30,3","31,7","30,1","31,6","30,62","0,82","0,9%","4,9%",380,"12,5", Verified ORF
2097,YGL084C,GUP1,"59,1","56,7","56,5","59,2","58,9","59,2","58,27","1,3","2,5%","2,5%",650,"22,5", Verified ORF
2098,YGL085W,YGL085W,"24,8","26,6","26,7","24,8","27,2","26,2","26,05","1,02","4,1%","9,9%",223,"4,5", Uncharacterized ORF
2099,YGL086W,MAD1,"47,9","45,4","47,3","42,5","46,9","44,1","45,68","2,08","2,8%","6,8%",530,15, Verified ORF
2100,YGL088W,YGL088W,"196,6","190,5","195,6","185,3","185,5","185,6","189,85","5,23","1,7%","9,7%",,"16,5", Dubious ORF
2101,YGL089C,MF(ALPHA)2,"1170,1","1154,1","1182,6","1187,2","1231,5","1197,3","1187,13","26,36","1,2%","4,2%",9.042,1, Verified ORF
2102,YGL090W,LIF1,"10,9",9,"10,6","10,3","11,2","10,9","10,48","0,79","10,0%","13,8%",221,11, Verified ORF
2103,YGL091C,NBP35,"45,1","42,7","44,6","45,8","45,9","43,8","44,65","1,23","2,9%","6,3%",308,33, Verified ORF
2104,YGL092W,NUP145,"83,4","88,1",89,"90,6","86,5","90,9","88,08","2,81","3,5%","4,4%",2.491,"9,5", Verified ORF
2105,YGL093W,SPC105,"25,5","24,7","24,8","23,6","23,9","26,4","24,82","1,03","1,7%","5,7%",683,"29,5", Verified ORF
2106,YGL094C,PAN2,"38,5",40,"36,9","39,1","42,2","39,9","39,43","1,77","4,0%","3,9%",909,6, Verified ORF
2107,YGL095C,VPS45,"55,4","54,8","61,1","56,4","59,8","54,8","57,05","2,73","6,1%","2,6%",502,47, Verified ORF
2108,YGL096W,TOS8,51,50,"51,4","50,9","51,8",52,"51,18","0,72","1,4%","1,7%",591,22, Verified ORF
2109,YGL097W,SRM1,"77,1","76,2","75,4","78,9","75,4","79,7","77,12","1,82","1,1%","4,1%",683,56, Verified ORF
2110,YGL098W,USE1,"34,4","29,6","33,2","36,4","31,8","34,1","33,25","2,34","7,7%","5,7%",408,26, Verified ORF
2111,YGL099W,LSG1,"80,6","80,8","83,4",86,"81,1",84,"82,65","2,17","1,9%","3,8%",1.433,"25,5", Verified ORF
2112,YGL100W,SEH1,76,"78,6","84,5","81,9","83,9","85,1","81,67","3,64","5,5%","7,4%",553,156, Verified ORF
2113,YGL101W,YGL101W,"102,2","97,3","99,2","112,7","106,2","103,9","103,58","5,49","2,5%","6,1%",377,"24,5", Uncharacterized ORF
2114,YGL102C,YGL102C,"0,6","1,1","0,9","0,8","1,1","0,9","0,9","0,19","29,0%","33,3%",,, Dubious ORF
2115,YGL104C,VPS73,"23,1","20,4","19,3","21,6","21,2","18,5","20,68","1,66","9,3%","9,0%",261,12, Verified ORF
2116,YGL105W,ARC1,"481,7","492,8","496,6","474,5","458,2","464,1","477,98","15,34","1,6%","2,1%",3.662,440, Verified ORF
2117,YGL106W,MLC1,"284,5","284,6","289,3","299,3","305,2","301,1",294,9,"1,0%","2,6%",1.011,"148,5", Verified ORF
2118,YGL107C,RMD9,"43,1","43,6","48,9",47,"47,5","49,3","46,57","2,64","7,1%","4,8%",899,"2,5", Verified ORF
2119,YGL108C,YGL108C,"54,7","57,3","56,4","68,1","63,9","64,3","60,78","5,37","2,4%","19,6%",198,, Uncharacterized ORF
2120,YGL109W,YGL109W,"3,2","3,4","3,4","2,8","3,3","3,5","3,27","0,25","3,5%","22,6%",,, Dubious ORF
2121,YGL110C,CUE3,"35,5","36,5","40,7","38,4",34,"38,6","37,28","2,42","7,3%","6,8%",388,7, Verified ORF
2122,YGL111W,NSA1,"71,1","70,4","69,7",75,"67,6","72,8","71,1","2,56","1,0%","2,7%",942,"12,5", Verified ORF
2123,YGL112C,TAF6,"83,3","84,4","79,1","81,2","84,2","80,7","82,15","2,14","3,4%","3,3%",766,30, Verified ORF
2124,YGL113W,SLD3,"21,8","23,3","26,2","24,3","25,7","26,7","24,67","1,89","9,4%","10,7%",286,6, Verified ORF
2125,YGL114W,YGL114W,"64,7","59,6","62,9","64,7",58,"58,2","61,35","3,13","4,1%","2,9%",1.096,"57,5", Uncharacterized ORF
2126,YGL115W,SNF4,"118,1","111,1","114,7","121,4","119,6","123,3","118,03","4,49","3,1%","1,4%",700,53, Verified ORF
2127,YGL116W,CDC20,"64,8","61,8","63,5","64,1","65,5","59,1","63,13","2,34","2,4%","4,3%",523,"5,5", Verified ORF
2128,YGL117W,YGL117W,"224,7","222,7","234,9","238,3","222,1","230,5","228,87","6,77","2,9%","5,0%",1.894,"45,5", Uncharacterized ORF
2129,YGL118C,YGL118C,3,"3,8","3,4","3,1","3,9","4,5","3,62","0,56","11,8%","14,8%",,1, Dubious ORF
2130,YGL119W,ABC1,"34,1","30,7","33,9","35,9","34,9","35,2","34,12","1,83","5,8%","2,7%",782,7, Verified ORF
2131,YGL120C,PRP43,"168,3","168,5","170,2","174,5",174,"181,7","172,87","5,08","0,6%","10,5%",2.253,37, Verified ORF
2132,YGL121C,GPG1,"18,7","18,7","17,6","17,3","17,3","18,9","18,08","0,76","3,5%","3,9%",155,"67,5", Verified ORF
2133,YGL122C,NAB2,"166,6","169,7","160,9",165,"161,9","162,7","164,47","3,31","2,7%","0,5%",3.771,59, Verified ORF
2134,YGL123C-A,YGL123C-A,0,"0,1","0,1","0,3","0,1","0,1","0,12","0,1","86,6%","173,2%",,, Dubious ORF
2135,YGL123W,RPS2,"2859,7","2864,8","2851,7","2761,6","2778,1","2759,7","2812,6","51,11","0,2%","2,9%",12.824,1899, Verified ORF
2136,YGL124C,MON1,"28,9","25,9","27,7","28,7","27,2","29,1","27,92","1,23","5,5%","4,3%",336,7, Verified ORF
2137,YGL125W,MET13,"35,7","32,4","36,8","35,6","36,1","30,4","34,5","2,52","6,5%","0,9%",221,18, Verified ORF
2138,YGL126W,SCS3,"43,4","41,4","41,3",38,"37,5","39,6","40,2","2,25","2,8%","7,6%",551,41, Verified ORF
2139,YGL127C,SOH1,"50,3","49,8","52,1","48,4","51,4","51,9","50,65","1,42","2,4%","4,8%",244,30, Verified ORF
2140,YGL128C,CWC23,"19,9","17,2","19,2","19,6","17,4","20,1","18,9","1,28","7,5%","8,8%",248,12, Verified ORF
2141,YGL129C,RSM23,"38,1","36,2","37,9","38,2","41,2","40,8","38,73","1,91","2,8%","5,1%",708,"20,5", Verified ORF
2142,YGL130W,CEG1,"40,4","38,1","36,8","40,7","37,3","35,5","38,13","2,06","4,7%","0,5%",536,46, Verified ORF
2143,YGL131C,SNT2,"21,1","25,3","24,4","23,1","24,2","23,7","23,63","1,44","9,4%","4,7%",387,, Verified ORF
2144,YGL132W,YGL132W,"0,4","0,7","0,9","0,7","0,8","0,9","0,73","0,19","37,7%","27,0%",,, Dubious ORF
2145,YGL133W,ITC1,"49,7",49,"54,1","57,5","53,3",59,"53,77","4,02","5,4%","7,6%",681,, Verified ORF
2146,YGL134W,PCL10,"30,3",31,"29,9","31,2","32,9","32,7","31,33","1,23","1,8%","5,4%",618,"18,5", Verified ORF
2147,YGL135W,RPL1B,"2687,5","2728,4",2705,"2758,1","2848,8","2768,7","2749,42","57,57","0,8%","3,8%",12.428,167, Verified ORF
