"ORF"	"Gene"	"Expression"
"YDL196W"	"YDL196W"	"0.19"
"YDL199C"	"YDL199C"	"0.26"
"YDL200C"	"MGT1"	"1.46"
"YDL201W"	"YDL201W"	"1.31"
"YDL202W"	"MRPL11"	"1.95"
"YDL203C"	"YDL203C"	"1.47"
"YDL204W"	"YDL204W"	"0.34"
"YDL205C"	"HEM3"	"3.04"
"YDL207W"	"GLE1"	"2.27"
"YDL208W"	"NHP2"	"29.05"
"YDL209C"	"YDL209C"	"0.88"
"YDL210W"	"UGA4"	"0.21"
"YDL211C"	"YDL211C"	"1.24"
"YDL212W"	"SHR3"	"34.29"
"YDL214C"	"YDL214C"	"0.13"
"YDL215C"	"GDH2"	"0.69"
"YDL216C"	"YDL216C"	"0.35"
"YDL217C"	"TIM22"	"1.94"
"YDL218W"	"YDL218W"	"0.27"
"YDL223C"	"YDL223C"	"0.31"
"YDL226C"	"GCS1"	"3.93"
"YDL227C"	"HO"	"0.38"
"YDL230W"	"PTP1"	"2.69"
